"id_order","brand_cat"
305284,"Jawbone display"
305329,"Replacement accessories"
305334,"Kanex accessories"
305349,"Pqi accessories"
305349,"SanDisk accessories"
305334,"ZaggKeys accessories"
305334,"Wowewa accessories"
305334,"Apple accessories"
305334,"Cygnett accessories"
305354,"Griffin accessories"
305334,"ZaggKeys accessories"
305354,"Kenu Airframe accessories"
305368,"iFixit accessories"
305368,"Apple accessories"
305368,"iFixit accessories"
305372,"LG display"
305372,"Apple laptop"
305377,"Wowewa accessories"
305377,"Belkin accessories"
305377,"Apple extended warranty"
305377,"Apple extended warranty"
305394,"SanDisk accessories"
305394,"Apple accessories"
305396,"Satechi accessories"
305396,"Muvit accessories"
305397,"Netatmo accessories"
305397,"Netatmo accessories"
305414,"Lexar accessories"
305414,"SanDisk accessories"
305421,"Apple accessories"
305421,"Otterbox accessories"
304877,"Philips accessories"
305432,"SanDisk accessories"
305433,"Satechi accessories"
305433,"Lifeproof accessories"
305104,"Philips accessories"
305104,"Elgato accessories"
305432,"Rain Design accessories"
305445,"Samsung accessories"
305450,"G-Technology accessories"
305451,"Griffin accessories"
305445,"Service service"
305451,"Twelve South accessories"
305451,"Noke accessories"
305451,"Pack accessories"
305474,"Apple tablet"
305474,"Western Digital accessories"
274550,"Kingston accessories"
305450,"Samsung accessories"
274550,"Moshi accessories"
274550,"Belkin accessories"
305496,"Western Digital accessories"
305496,"Western Digital accessories"
305520,"Kukaclip accessories"
305520,"Puro accessories"
305520,"Mophie accessories"
305020,"Moshi accessories"
305542,"Opulus accessories"
305542,"Apple accessories"
305556,"Western Digital accessories"
305556,"FCM accessories"
305556,"FCM accessories"
301584,"Apple accessories"
301584,"Kanex accessories"
305581,"Apple accessories"
305581,"Apple extended warranty"
305581,"Kanex accessories"
305592,"NewerTech accessories"
305592,"NewerTech accessories"
305602,"Apple extended warranty"
305602,"Apple extended warranty"
305616,"Service service"
305620,"Drobo accessories"
305616,"Pack accessories"
304924,"Pack accessories"
304924,"Pack accessories"
305642,"Seagate accessories"
305642,"Crucial accessories"
304924,"Elgato accessories"
305644,"Pack accessories"
304924,"Osmo accessories"
305644,"Elgato accessories"
304924,"Elgato accessories"
305654,"Pack accessories"
305654,"iFixit accessories"
305687,"Samsung accessories"
305687,"OWC accessories"
305691,"LaCie accessories"
305687,"NewerTech accessories"
301097,"Wacom accessories"
305691,"Apple accessories"
301097,"Apple tablet"
305695,"Crucial accessories"
305701,"Belkin accessories"
305701,"X-Doria accessories"
305722,"Apple extended warranty"
305695,"Crucial accessories"
305695,"OWC accessories"
305734,"Kingston accessories"
305736,"Drobo accessories"
305755,"Pack accessories"
305755,"Kingston accessories"
305762,"Pack accessories"
305762,"iFixit accessories"
305768,"Pack accessories"
305775,"Apple tablet"
305775,"Twelve South accessories"
274550,"Moshi accessories"
305734,"LaCie accessories"
305736,"Apple accessories"
300176,"Twelve South accessories"
305808,"Kingston accessories"
305808,"LaCie accessories"
305815,"Otterbox accessories"
301587,"Moxie accessories"
305824,"Trascend accessories"
305824,"Thule accessories"
305824,"Macally accessories"
305824,"Apple accessories"
304924,"Muvit accessories"
301587,"Wowewa accessories"
305824,"Satechi accessories"
305824,"NA NA"
303851,"Pack accessories"
284739,"OWC accessories"
284739,"Apple accessories"
305852,"Kingston accessories"
284739,"LaCie accessories"
305852,"Lexar accessories"
305857,"Apple tablet"
305861,"Eizo display"
305857,"Apple accessories"
305861,"Pack accessories"
300176,"Apple accessories"
302641,"ZaggKeys accessories"
300176,"Griffin accessories"
305815,"iFixit accessories"
